atom_num_X,symbol_X,mass_X,period_X,group_X,stable_phase_X,atomic_radius_X,negativity_X,density_X,tot_val_X,s_val_X,p_val_X,d_val_X,f_val_X,atom_num_Y,symbol_Y,mass_Y,period_Y,group_Y,stable_phase_Y,atomic_radius_Y,negativity_Y,density_Y,tot_val_Y,s_val_Y,p_val_Y,d_val_Y,f_val_Y,atom_num_Z,symbol_Z,mass_Z,period_Z,group_Z,stable_phase_Z,atomic_radius_Z,negativity_Z,density_Z,tot_val_Z,s_val_Z,p_val_Z,d_val_Z,f_val_Z,ratio_XY,ratio_XZ,ratio_YZ,lat_type,lat,x1_mag,x2_mag,y_mag,z_mag,tot_mag,tot_en,form_en,formula,num_valence
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,13,Al,26.9815386,3,13,fcc,1.8,1.61,2.698,3.0,2.0,1.0,0.0,0.0,0.7777777777777777,0.7777777777777777,1.0,l21,5.784660218338311,0.0,0.0,0.0,0.0,0.0,-3.228,0.292,Be2AgAl,18.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,33,As,74.9216,4,15,rho,1.3,2.18,5.776,5.0,2.0,3.0,10.0,0.0,0.7777777777777777,1.0769230769230769,1.3846153846153846,l21,5.986488112844248,0.0,0.0,0.0,0.0,0.0,-3.267,0.479,Be2AgAs,20.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,5,B,10.811,2,13,rho,1.2,2.04,2.34,3.0,2.0,1.0,0.0,0.0,0.7777777777777777,1.1666666666666667,1.5,l21,5.448848057745458,0.0,0.0,0.0,0.0,0.0,-3.549,0.704,Be2AgB,18.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,83,Bi,208.9804,6,15,rho,1.6,2.02,9.807,5.0,2.0,3.0,10.0,14.0,0.7777777777777777,0.8749999999999999,1.125,l21,6.386821841981391,0.0,0.0,0.0,0.0,0.0,-2.9,0.693,Be2AgBi,20.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,31,Ga,69.723,4,13,orth,1.8,1.81,5.907,3.0,2.0,1.0,10.0,0.0,0.7777777777777777,0.7777777777777777,1.0,l21,5.860640046262708,0.0,0.0,0.0,0.0,0.0,-3.026,0.315,Be2AgGa,18.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,32,Ge,72.64,4,14,fcc,1.5,2.01,5.323,4.0,2.0,2.0,10.0,0.0,0.7777777777777777,0.9333333333333332,1.2,l21,5.984999566120319,0.0,0.0,0.0,0.0,0.0,-3.282,0.457,Be2AgGe,19.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,49,In,114.818,5,13,tet,2.0,1.78,7.31,3.0,2.0,1.0,10.0,0.0,0.7777777777777777,0.7,0.9,l21,6.055921620580478,0.0,0.0,0.0,0.0,0.0,-2.802,0.461,Be2AgIn,18.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,12,Mg,24.305,3,2,hex,1.7,1.31,1.738,2.0,2.0,0.0,0.0,0.0,0.7777777777777777,0.8235294117647058,1.0588235294117647,l21,5.877207861883412,0.0,0.0,0.0,0.0,0.0,-2.767,0.202,Be2AgMg,17.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,82,Pb,207.2,6,14,fcc,1.8,2.33,11.342,4.0,2.0,2.0,10.0,14.0,0.7777777777777777,0.7777777777777777,1.0,l21,6.386691093090059,0.0,0.0,0.0,0.0,0.0,-2.814,0.704,Be2AgPb,19.0
4,Be,9.012182,2,2,hex,1.4,1.57,1.85,2.0,2.0,0.0,0.0,0.0,47,Ag,107.8682,5,11,fcc,1.8,1.93,10.501,11.0,1.0,0.0,10.0,0.0,51,Sb,121.76,5,15,rho,1.5,2.05,6.685,5.0,2.0,3.0,10.0,0.0,0.7777777777777777,0.9333333333333332,1.2,l21,6.270306220402124,0.0,0.0,0.0,0.0,0.0,-2.985,0.628,Be2AgSb,20.0
